ID,Name,Concepticon_ID,Concepticon_Gloss
1_firen,fire (n.),,
2_nosen,nose (n.),,
3_gov,go (v.),,
4_watern,water (n.),,
5_mouthn,mouth (n.),,
6_tonguen,tongue (n.),,
7_bloodn,blood (n.),,
8_bonen,bone (n.),,
9_2sgpronoun,2SG pronoun,,
10_rootn,root (n.),,
11_comev,come (v.),,
12_breastn,breast (n.),,
13_rainn,rain (n.),,
14_1sg,1SG,,
15_namen,name (n.),,
16_lousen,louse (n.),,
17_wingn,wing (n.),,
18_meatn,meat (n.),,
19_armhandn,arm / hand (n.),,
20_flyn,fly (n.),,
21_nightn,night (n.),,
22_earn,ear (n.),,
23_neckn,neck (n.),,
24_far,far,,
25_domakev,do (make) (v.),,
26_housen,house (n.),,
27_stonerockn,stone (rock) (n.),,
28_bitter,bitter,,
29_sayv,say (v.),,
30_toothn,tooth (n.),,
31_hairn,hair (n.),,
32_big,big,,
33_one,one,,
34_who,who?,,
35_3sgpronoun,3SG pronoun,,
36_hitbeatv,hit / beat (v.),,
37_legfootn,leg / foot (n.),,
38_hornn,horn (n.),,
39_this,this,,
40_fishn,fish (n.),,
41_yesterday,yesterday,,
42_drinkv,drink (v.),,
43_black,black,,
44_naveln,navel (n.),,
45_standv,stand (v.),,
46_bitev,bite (v.),,
47_backn,back (n.),,
48_windn,wind (n.),,
49_smoken,smoke (n.),,
50_what,what?,,
51_childn,child (n.),,
52_eggn,egg (n.),,
53_givev,give (v.),,
54_new,new,,
55_burnv,burn (v.),,
56_not,not,,
57_good,good,,
58_knowv,know (v.),,
59_kneen,knee (n.),,
60_sandn,sand (n.),,
61_laughv,laugh (v.),,
62_hearv,hear (v.),,
63_soiln,soil (n.),,
64_leafn,leaf (n.),,
65_red,red,,
66_livern,liver (n.),,
67_hidev,hide (v.),,
68_skinn,skin (n.),,
69_suckv,suck (v.),,
70_carryv,carry (v.),,
71_antn,ant (n.),,
72_heavy,heavy,,
73_takev,take (v.),,
74_old,old,,
75_eatv,eat (v.),,
76_thighn,thigh (n.),,
77_thick,thick,,
78_long,long,,
79_blowv,blow (v.),,
80_woodn,wood (n.),,
81_runv,run (v.),,
82_fallv,fall (v.),,
83_eyen,eye (n.),,
84_ashn,ash (n.),,
85_tailn,tail (n.),,
86_dogn,dog (n.),,
87_cryweepv,cry / weep (v.),,
88_tiev,tie (v.),,
89_seev,see (v.),,
90_sweet,sweet,,
91_rope,rope,,
92_shaden,shade (n.),,
93_birdn,bird (n.),,
94_saltn,salt (n.),,
95_small,small,,
96_wide,wide,,
97_starn,star (n.),,
98_in,in,,
99_hard,hard,,
100_crushv,crush (v.),,
101_mountainn,mountain (n.),,
102_sitv,sit (v.),,
103_fingernailn,(finger)nail (n.),,
104_throwv,throw (v.),,
105_three,three,,
106_right,right,,
107_washv,wash (v.),,
108_graspv,grasp (v.),,
109_branchn,branch (n.),,
110_mann,man (n.),,
111_raw,raw,,
112_tomorrow,tomorrow,,
113_two,two,,
114_bottomn,bottom (n.),,
115_liedownv,lie (down) (v.),,
116_snaken,snake (n.),,
117_cloudn,cloud (n.),,
118_yearn,year (n.),,
119_tearv,tear (v.),,
120_askv,ask (v.),,
121_weavev,weave (v.),,
122_at,at,,
123_edgen,edge (n.),,
124_chinn,chin (n.),,
125_playv,play (v.),,
126_cheekn,cheek (n.),,
127_pusn,pus (n.),,
128_flyv,fly (v.),,
129_holen,hole (n.),,
130_growv,grow (v.),,
131_headn,head (n.),,
132_bellyn,belly (n.),,
133_shouldern,shoulder (n.),,
134_clawn,claw (n.),,
135_which,which?,,
136_digv,dig (v.),,
137_pullv,pull (v.),,
138_hot,hot,,
139_firewoodn,firewood (n.),,
140_remainv,remain (v.),,
141_cold,cold,,
142_feathern,feather (n.),,
143_coughv,cough (v.),,
144_thin,thin,,
145_grassn,grass (n.),,
146_foamn,foam (n.),,
147_sour,sour,,
148_full,full,,
149_dayn,day (n.),,
150_sleepv,sleep (v.),,
151_monthn,month (n.),,
152_white,white,,
153_sewv,sew (v.),,
154_killv,kill (v.),,
155_jumpv,jump (v.),,
156_throatn,throat (n.),,
157_woodsn,woods  (n.),,
158_there,there,,
159_findv,find (v.),,
160_flowv,flow (v.),,
161_many,many,,
162_chewv,chew (v.),,
163_swallowv,swallow (v.),,
164_wet,wet,,
165_four,four,,
166_soft,soft,,
167_lookv,look (v.),,
168_nasalmucus,nasal mucus,,
169_that,that,,
170_cutv,cut (v.),,
171_mothern,mother (n.),,
172_scratchv,scratch (v.),,
173_sunn,sun (n.),,
174_lookforv,look for (v.),,
175_brainn,brain (n.),,
176_warm,warm,,
177_coverv,cover (v.),,
178_womann,woman (n.),,
179_deep,deep,,
180_above,above,,
181_femaleofananimaln,female (of an animal) (n.),,
182_putonv,put on (v.),,
183_other,other,,
184_foreheadn,forehead (n.),,
185_left,left,,
186_risev,rise (v.),,
187_dry,dry,,
188_how,how?,,
189_breakv,break (v.),,
190_where,where?,,
191_spinv,spin (v.),,
192_ripev,ripe (v.),,
193_lickv,lick (v.),,
194_openv,open (v.),,
195_tall,tall,,
196_bad,bad,,
197_barkn,bark (n.),,
198_breathev,breathe (v.),,
199_countv,count (v.),,
200_diev,die (v.),,
201_dirty,dirty,,
202_dust,dust,,
203_fatn,fat (n.),,
204_fathern,father (n.),,
205_fearv,fear (v.),,
206_fightv,fight (v.),,
207_five,five,,
208_flowern,flower (n.),,
209_fogn,fog (n.),,
210_freezev,freeze (v.),,
211_fruitn,fruit (n.),,
212_green,green,,
213_gutsn,guts (n.),,
214_heartn,heart (n.),,
215_here,here,,
216_huntv,hunt (v.),,
217_icen,ice (n.),,
218_laken,lake (n.),,
219_livev,live (v.),,
220_moonn,moon (n.),,
221_narrow,narrow,,
222_near,near,,
223_personn,person (n.),,
224_pushv,push (v.),,
225_rivern,river (n.),,
226_tobecomerottenv,to be(come) rotten (v.),,
227_round,round,,
228_sean,sea (n.),,
229_seedn,seed (n.),,
230_sharp,sharp,,
231_short,short,,
232_singv,sing (v.),,
233_skyn,sky (n.),,
234_smellv,smell (v.),,
235_smooth,smooth,,
236_snown,snow (n.),,
237_spitv,spit (v.),,
238_stickn,stick (n.),,
239_straight,straight,,
240_swellv,swell (v.),,
241_swimv,swim (v.),,
242_they,they,,
243_thinkv,think (v.),,
244_treen,tree (n.),,
245_true,true,,
246_turnv,turn (v.),,
247_vomitv,vomit (v.),,
248_walkv,walk (v.),,
249_1plpronoun,1PL pronoun,,
250_when,when?,,
251_with,with,,
252_wormn,worm (n.),,
253_yellow,yellow,,
254_2plpronoun,2PL pronoun,,
