NUMBER	ENGLISH	LEXIBANK_GLOSS
1	fire (n.)	fire (n.)
2	nose (n.)	nose (n.)
3	go (v.)	go (v.)
4	water (n.)	water (n.)
5	mouth (n.)	mouth (n.)
6	tongue (n.)	tongue (n.)
7	blood (n.)	blood (n.)
8	bone (n.)	bone (n.)
9	2SG pronoun	2SG pronoun
10	root (n.)	root (n.)
11	come (v.)	come (v.)
12	breast (n.)	breast (n.) // breast (n.)
13	rain (n.)	rain (n.)
14	1SG	1SG
15	name (n.)	name (n.)
16	louse (n.)	louse (n.)
17	wing (n.)	wing (n.)
18	meat (n.)	meat (n.)
19	arm / hand (n.)	arm / hand (n.)
20	fly (n.)	fly (n.)
21	night (n.)	night (n.)
22	ear (n.)	ear (n.)
23	neck (n.)	neck (n.)
24	far	far
25	do (make) (v.)	do (make) (v.)
26	house (n.)	house (n.)
27	stone (rock) (n.)	stone (rock) (n.)
28	bitter	bitter
29	say (v.)	say (v.)
30	tooth (n.)	tooth (n.)
31	hair (n.)	hair (n.)
32	big	big
33	one	one
34	who?	who?
35	3SG pronoun	3SG pronoun
36	hit / beat (v.)	hit / beat (v.)
37	leg / foot (n.)	leg / foot (n.)
38	horn (n.)	horn (n.)
39	this	this
40	fish (n.)	fish (n.)
41	yesterday	yesterday
42	drink (v.)	drink (v.)
43	black	black
44	navel (n.)	navel (n.)
45	stand (v.)	stand (v.)
46	bite (v.)	bite (v.)
47	back (n.)	back (n.)
48	wind (n.)	wind (n.)
49	smoke (n.)	smoke (n.)
50	what?	what?
51	child (n.)	child (n.)
52	egg (n.)	egg (n.)
53	give (v.)	give (v.)
54	new	new
55	burn (v.)	burn (v.)
56	not	not
57	good	good
58	know (v.)	know (v.)
59	knee (n.)	knee (n.)
60	sand (n.)	sand (n.)
61	laugh (v.)	laugh (v.)
62	hear (v.)	hear (v.)
63	soil (n.)	soil (n.)
64	leaf (n.)	leaf (n.)
65	red	red
66	liver (n.)	liver (n.)
67	hide (v.)	hide (v.)
68	skin (n.)	skin (n.)
69	suck (v.)	suck (v.)
70	carry (v.)	carry (v.)
71	ant (n.)	ant (n.)
72	heavy	heavy
73	take (v.)	take (v.)
74	old	old
75	eat (v.)	eat (v.)
76	thigh (n.)	thigh (n.)
77	thick	thick
78	long	long
79	blow (v.)	blow (v.)
80	wood (n.)	wood (n.)
81	run (v.)	run (v.)
82	fall (v.)	fall (v.)
83	eye (n.)	eye (n.)
84	ash (n.)	ash (n.)
85	tail (n.)	tail (n.)
86	dog (n.)	dog (n.)
87	cry / weep (v.)	cry / weep (v.)
88	tie (v.)	tie (v.)
89	see (v.)	see (v.)
90	sweet	sweet
91	rope	rope // rope (n.)
92	shade (n.)	shade (n.)
93	bird (n.)	bird (n.)
94	salt (n.)	salt (n.)
95	small	small
96	wide	wide
97	star (n.)	star (n.)
98	in	in
99	hard	hard
100	crush (v.)	crush (v.)
101	mountain (n.)	mountain (n.)
102	sit (v.)	sit (v.)
103	(finger)nail (n.)	(finger)nail (n.)
104	throw (v.)	throw (v.)
105	three	three
106	right	right
107	wash (v.)	wash (v.)
108	grasp (v.)	grasp (v.)
109	branch (n.)	branch (n.)
110	man (n.)	man (n.)
111	raw	raw
112	tomorrow	tomorrow
113	two	two
114	bottom (n.)	bottom (n.)
115	lie (down) (v.)	lie (down) (v.)
116	snake (n.)	snake (n.)
117	cloud (n.)	cloud (n.)
118	year (n.)	year (n.)
119	tear (v.)	tear (v.)
120	ask (v.)	ask (v.)
121	weave (v.)	weave (v.)
122	at	at
123	edge (n.)	edge (n.)
124	chin (n.)	chin (n.)
125	play (v.)	play (v.)
126	cheek (n.)	cheek (n.)
127	pus (n.)	pus (n.)
128	fly (v.)	fly (v.)
129	hole (n.)	hole (n.)
130	grow (v.)	grow (v.)
131	head (n.)	head (n.)
132	belly (n.)	belly (n.)
133	shoulder (n.)	shoulder (n.)
134	claw (n.)	claw (n.)
135	which?	which?
136	dig (v.)	dig (v.)
137	pull (v.)	pull (v.)
138	hot	hot
139	firewood (n.)	firewood (n.)
140	remain (v.)	remain (v.)
141	cold	cold
142	feather (n.)	feather (n.)
143	cough (v.)	cough (v.)
144	thin	thin
145	grass (n.)	grass (n.)
146	foam (n.)	foam (n.)
147	sour	sour
148	full	full
149	day (n.)	day (n.)
150	sleep (v.)	sleep (v.)
151	month (n.)	month (n.)
152	white	white
153	sew (v.)	sew (v.)
154	kill (v.)	kill (v.)
155	jump (v.)	jump (v.)
156	throat (n.)	throat (n.)
157	woods  (n.)	woods  (n.)
158	there	there
159	find (v.)	find (v.)
160	flow (v.)	flow (v.)
161	many	many
162	chew (v.)	chew (v.)
163	swallow (v.)	swallow (v.)
164	wet	wet
165	four	four
166	soft	soft
167	look (v.)	look (v.)
168	nasal mucus	nasal mucus // nasal mucus (n.)
169	that	that
170	cut (v.)	cut (v.)
171	mother (n.)	mother (n.)
172	scratch (v.)	scratch (v.)
173	sun (n.)	sun (n.)
174	look for (v.)	look for (v.)
175	brain (n.)	brain (n.)
176	warm	warm
177	cover (v.)	cover (v.)
178	woman (n.)	woman (n.)
179	deep	deep
180	above	above
181	female (of an animal) (n.)	female (of an animal) (n.)
182	put on (v.)	put on (v.)
183	other	other
184	forehead (n.)	forehead (n.)
185	left	left
186	rise (v.)	rise (v.)
187	dry	dry
188	how?	how?
189	break (v.)	break (v.)
190	where?	where?
191	spin (v.)	spin (v.)
192	ripe (v.)	ripe (v.)
193	lick (v.)	lick (v.)
194	open (v.)	open (v.)
195	tall	tall
196	bad	bad
197	bark (n.)	bark (n.)
198	breathe (v.)	breathe (v.)
199	count (v.)	count (v.)
200	die (v.)	die (v.)
201	dirty	dirty
202	dust	dust
203	fat (n.)	fat (n.)
204	father (n.)	father (n.)
205	fear (v.)	fear (v.)
206	fight (v.)	fight (v.)
207	five	five
208	flower (n.)	flower (n.)
209	fog (n.)	fog (n.)
210	freeze (v.)	freeze (v.)
211	fruit (n.)	fruit (n.)
212	green	green
213	guts (n.)	guts (n.)
214	heart (n.)	heart (n.)
215	here	here
216	hunt (v.)	hunt (v.)
217	ice (n.)	ice (n.)
218	lake (n.)	lake (n.)
219	live (v.)	live (v.)
220	moon (n.)	moon (n.)
221	narrow	narrow
222	near	near
223	person (n.)	person (n.)
224	push (v.)	push (v.)
225	river (n.)	river (n.)
226	to be(come) rotten (v.)	to be(come) rotten (v.)
227	round	round
228	sea (n.)	sea (n.)
229	seed (n.)	seed (n.)
230	sharp	sharp
231	short	short
232	sing (v.)	sing (v.)
233	sky (n.)	sky (n.)
234	smell (v.)	smell (v.)
235	smooth	smooth
236	snow (n.)	snow (n.)
237	spit (v.)	spit (v.)
238	stick (n.)	stick (n.)
239	straight	straight
240	swell (v.)	swell (v.)
241	swim (v.)	swim (v.)
242	they	they
243	think (v.)	think (v.)
244	tree (n.)	tree (n.)
245	true	true
246	turn (v.)	turn (v.)
247	vomit (v.)	vomit (v.)
248	walk (v.)	walk (v.)
249	1PL pronoun	1PL pronoun
250	when?	when?
251	with	with
252	worm (n.)	worm (n.)
253	yellow	yellow
254	2PL pronoun	2PL pronoun
